pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
985,C09DA06,4,2007,750.700012207,856112.417985,507.536682129,0,98.0,750.473905563
985,C09DA06,5,2007,750.700012207,991465.117983,507.540008545,0,98.0,750.686714172
985,C09DA06,6,2007,750.700012207,1095360.01398,507.540008545,0,98.0,750.687508583
985,C09DA06,7,2007,750.700012207,940429.55998,507.540008545,0,98.0,750.682975769
985,C09DA06,8,2007,750.700012207,1033387.75398,507.540008545,0,98.0,750.693583489
985,C09DA06,9,2007,750.700012207,1039098.01798,507.540008545,0,98.0,750.69591999
985,C09DA06,10,2007,750.700012207,1082546.41598,507.540008545,0,98.0,750.693863869
985,C09DA06,11,2007,750.700012207,973849.715982,507.540008545,0,98.0,750.689097405
985,C09DA06,12,2007,750.700012207,1270336.75997,507.540008545,0,98.0,750.696574211
996,C09DA06,5,2004,402.0,6250.0,268.806671143,0,50.0,401.999998092
996,C09DA06,6,2004,402.0,5400.0,268.806671143,0,50.0,401.999998092
996,C09DA06,7,2004,402.0,5300.0,268.24331665,0,50.0,401.999998092
996,C09DA06,8,2004,402.0,4400.0,268.24331665,0,50.0,401.999998092
996,C09DA06,9,2004,402.0,4750.0,268.24331665,0,50.0,401.999998092
996,C09DA06,10,2004,402.0,4100.0,268.24331665,0,50.0,401.999998092
996,C09DA06,11,2004,402.0,4850.0,268.24331665,0,50.0,401.999998092
996,C09DA06,12,2004,402.0,8600.0,269.013336182,0,50.0,401.999998092
996,C09DA06,1,2005,407.961639404,4400.0,270.540008545,0,50.0,408.400011063
996,C09DA06,2,2005,408.399993896,3600.0,270.540008545,0,50.0,408.308601379
996,C09DA06,3,2005,408.399993896,4050.0,270.540008545,0,50.0,408.400011063
996,C09DA06,4,2005,408.399993896,4700.0,270.540008545,0,50.0,408.400011063
996,C09DA06,5,2005,408.399993896,4400.0,270.540008545,0,50.0,408.400011063
996,C09DA06,6,2005,408.399993896,5950.0,270.540008545,0,50.0,408.400011063
996,C09DA06,7,2005,408.399993896,3950.0,270.540008545,0,50.0,408.400011063
