date,phid,chain,storesize,sale,nobs,packages,market
2004-03-01,204,1,0.0,2074393.07,4367,6123.083,50
2004-03-01,205,2,211.0,918313.29,1593,2100.4,6
2004-03-01,206,2,327.0,1518495.77,3307,4252.0,6
2004-03-01,252,2,200.0,764087.29,1368,1922.0,28
2004-03-01,253,2,248.0,590405.43,1484,2005.0,65
2004-03-01,257,1,90.0,1346732.82,2965,3867.16,66
2004-03-01,258,2,472.0,2355986.77,4623,6259.17,66
2004-03-01,259,1,220.0,1010259.66,2395,3083.0,25
2004-03-01,260,1,256.0,888827.17,2050,2686.75,67
2004-03-01,261,1,433.0,1021891.59,2056,2894.25,59
2004-03-01,262,3,325.0,2100924.11,4448,6154.5,39
2004-03-01,263,3,457.0,2761304.12,5706,7831.878,39
2004-03-01,264,2,579.0,2253391.17,4582,6613.0,16
2004-03-01,265,1,300.0,1397681.04,3145,4114.2,16
2004-03-01,266,2,130.0,982263.0,2139,2972.427,68
2004-03-01,267,2,202.0,1331120.36,2691,3747.561,69
2004-03-01,269,1,314.0,1438670.33,3008,4236.0,70
2004-03-01,272,4,302.0,1377515.22,2939,4272.8,71
2004-03-01,273,2,164.0,768132.48,1584,2276.45,72
2004-03-01,277,2,330.0,1579170.74,3011,4050.0,25
2004-03-01,278,2,265.0,1295345.81,2717,3660.0,25
2004-03-01,279,2,226.0,1451607.15,2827,3769.0,25
2004-03-01,286,1,156.0,455713.92,1057,1361.0,11
2004-03-01,287,2,310.0,1639309.89,3204,4274.73,73
2004-03-01,288,3,118.0,528763.64,1229,1587.0,50
2004-03-01,299,4,250.0,1160033.66,2904,3816.246,74
2004-03-01,300,3,181.0,888520.47,2204,2873.214,50
2004-03-01,301,2,303.0,1409500.02,3555,3814.498,75
2004-03-01,302,3,275.0,1419684.72,2853,3824.15,25
2004-03-01,303,2,303.0,1775349.03,3647,4847.286,76
2004-03-01,305,2,373.0,1564524.54,3749,5103.0,16
2004-03-01,306,2,215.0,857895.31,2048,2619.0,25
2004-03-01,307,2,265.0,2569048.61,4981,6517.401,25
2004-03-01,308,3,339.0,2210611.02,8240,5927.426,25
2004-03-01,309,1,491.0,2872600.53,5951,7899.2,25
2004-03-01,310,1,263.0,1086850.05,2430,3197.5,25
2004-03-01,311,1,288.0,2152340.72,4450,6029.5,77
2004-03-01,312,1,82.0,1261031.76,2933,3816.872,77
2004-03-01,313,3,486.0,2016272.55,3876,5237.0,50
2004-03-01,315,2,350.0,1978039.34,4100,5527.307,78
2004-03-01,316,3,252.0,908144.63,1809,2515.35,79
2004-03-01,317,2,259.0,1720868.23,3472,4672.0,80
2004-03-01,318,1,226.0,823946.94,1919,2601.6,81
2004-03-01,319,1,195.0,688504.08,1584,2014.7,82
2004-03-01,320,2,150.0,795156.87,1577,2101.333,83
2004-03-01,321,3,176.0,1308433.2,3218,4330.986,84
2004-03-01,322,2,350.0,1743541.03,3410,4581.966,85
2004-03-01,323,3,225.0,1086904.54,2705,3596.45,86
2004-03-01,324,3,150.0,805256.45,2089,2322.975,87
2004-03-01,325,1,130.0,889581.25,1851,2480.333,88
2004-03-01,326,2,159.0,1281966.67,2592,3684.0,3
2004-03-01,327,2,100.0,643138.83,1666,2086.68,89
2004-03-01,330,1,288.0,997082.75,2563,3436.667,90
2004-03-01,331,2,425.0,1804948.53,3770,5293.3,25
2004-03-01,332,1,150.0,911032.71,2059,2831.0,91
2004-03-01,333,2,200.0,1389389.22,3312,4523.0,92
2004-03-01,334,1,163.0,1355404.85,3489,4655.7,92
2004-03-01,335,1,383.0,2146786.52,5184,7195.333,92
2004-03-01,336,5,894.0,3601527.36,3428,5119.368,92
2004-03-01,337,2,90.0,949631.9,2435,3272.8,92
2004-03-01,338,1,194.0,482293.9,1217,1662.656,92
2004-03-01,339,2,246.0,1084914.46,2372,3263.4,50
2004-03-01,340,2,389.0,659148.34,1741,2193.967,50
2004-03-01,341,3,260.0,771604.24,1724,2263.333,50
2004-03-01,342,3,429.0,2521109.34,5356,7231.81,50
2004-03-01,343,1,250.0,1837882.94,3882,5223.913,50
2004-03-01,344,1,231.0,1307893.2,2826,3674.119,50
2004-03-01,345,3,344.0,2116124.29,3864,5352.0,50
2004-03-01,346,1,396.0,875314.94,2154,2717.286,50
2004-03-01,347,5,1300.0,4058731.13,2689,4130.9,50
2004-03-01,348,1,271.0,1232771.98,2364,3228.2,50
2004-03-01,349,1,113.0,552972.19,1640,2026.666,50
2004-03-01,350,2,305.0,1578341.2,3599,4623.572,93
2004-03-01,352,1,75.0,1266179.7,2438,3343.143,3
2004-03-01,353,3,530.0,1645431.25,3535,4905.283,94
2004-03-01,354,2,110.0,845077.35,2039,2689.108,34
2004-03-01,362,2,360.0,1393845.01,3020,4051.63,32
2004-03-01,363,4,250.0,1160725.94,2384,3221.048,95
2004-03-01,364,2,77.0,453120.15,1113,1563.0,80
2004-03-01,365,1,314.0,681835.66,1680,2330.0,96
2004-03-01,366,3,256.0,1748338.64,3659,5282.0,3
2004-03-01,367,1,97.0,1997530.64,3748,5033.067,42
2004-03-01,368,3,428.0,932418.61,2086,2777.714,42
2004-03-01,370,2,214.0,776111.43,1812,2481.5,97
2004-03-01,371,2,261.0,1769565.51,3662,4948.0,16
2004-03-01,372,2,407.0,1800061.96,4053,5588.433,98
2004-03-01,373,1,256.0,720461.68,1563,2112.25,99
2004-03-01,374,2,404.0,1058102.13,2373,3280.0,100
2004-03-01,375,1,122.0,1898178.44,4388,5989.1,101
2004-03-01,376,2,340.0,1388125.5,2928,3945.0,102
2004-03-01,377,1,270.0,1276739.3,2890,3924.9,103
2004-03-01,378,2,57.0,467520.25,1151,1462.0,104
2004-03-01,379,3,90.0,861542.68,1436,1876.0,29
2004-03-01,380,2,115.0,473233.25,1208,1685.4,105
2004-03-01,381,2,192.0,1021244.4,2382,3238.419,106
2004-03-01,382,1,450.0,1255086.62,2643,3564.819,107
2004-03-01,383,2,307.0,1153905.01,2703,3626.25,100
2004-03-01,384,1,396.0,1852653.98,4092,5646.0,16
2004-03-01,386,3,105.0,584127.34,1295,1684.0,16
2004-03-01,387,1,300.0,755841.67,1606,2215.25,108
2004-03-01,388,3,133.0,672970.5,1504,2039.0,27
2004-03-01,389,1,132.0,1837139.55,4091,5258.969,83
2004-03-01,390,2,500.0,1840064.34,3921,5230.687,83
2004-03-01,391,5,560.0,3479111.48,2598,3918.066,83
2004-03-01,392,1,154.0,823366.12,1933,2441.82,83
2004-03-01,393,2,207.0,528161.16,1016,1407.028,109
2004-03-01,394,3,137.0,720352.67,1516,2045.0,110
2004-03-01,395,1,160.0,710577.3,1550,1996.0,111
2004-03-01,397,3,324.0,1397142.16,3193,4256.0,29
2004-03-01,398,2,133.0,686473.62,1534,2056.0,1
2004-03-01,399,1,137.0,418589.39,1025,1406.0,25
2004-03-01,401,2,188.0,1350195.65,2673,3504.0,34
2004-03-01,402,1,225.0,470667.08,1005,1244.6,34
2004-03-01,403,1,230.0,357965.46,901,1180.0,3
